Year,Value,Units
1968,6.720358549,degrees C
1969,7.399972848,degrees C
1970,7.307212044,degrees C
1971,7.900603921,degrees C
1972,8.054904638,degrees C
1973,8.496816776,degrees C
1974,8.610847461,degrees C
1975,7.659435205,degrees C
1976,8.351512214,degrees C
1977,7.858949203,degrees C
1978,6.910640417,degrees C
1979,7.267136543,degrees C
1980,7.264315017,degrees C
1981,7.008466425,degrees C
1982,7.742856549,degrees C
1983,7.927662815,degrees C
1984,8.383342823,degrees C
1985,8.95787976,degrees C
1986,8.439409778,degrees C
1987,7.71197616,degrees C
1988,7.311716863,degrees C
1989,7.59243354,degrees C
1990,7.994015553,degrees C
1991,7.952462539,degrees C
1992,7.345740899,degrees C
1993,7.613784201,degrees C
1994,8.593983202,degrees C
1995,8.536091352,degrees C
1996,8.041099738,degrees C
1997,8.391465119,degrees C
1998,7.152379481,degrees C
1999,8.496151838,degrees C
2000,8.402442734,degrees C
2001,7.775643671,degrees C
2002,8.814798494,degrees C
2003,7.592578129,degrees C
2004,6.891320155,degrees C
2005,8.08459434,degrees C
2006,8.725324995,degrees C
2007,7.218360966,degrees C
2008,8.716828105,degrees C
2009,8.395979343,degrees C
2010,8.925848515,degrees C
2011,8.715061104,degrees C
2012,9.347598011,degrees C
2013,8.551426629,degrees C
2014,9.143564692,degrees C
2015,8.142769084,degrees C
